SNR,Recommendation
-13,None
-12,None
-11,None
-10,None
-9,None
-8,None
-7,None
-6,None
-5,"(5, 4, 0)"
-4,"(5, 3, 0)"
-3,"(5, 4, 1)"
-2,"(5, 3, 1)"
-1,"(5, 4, 2)"
0,"(5, 3, 2)"
1,"(5, 4, 3)"
2,"(5, 3, 3)"
3,"(5, 4, 4)"
4,"(5, 3, 4)"
5,"(5, 4, 5)"
6,"(5, 3, 6)"
7,"(5, 3, 7)"
8,"(5, 3, 8)"
9,"(5, 3, 10)"
10,"(5, 3, 10)"
11,"(5, 3, 11)"
12,"(5, 3, 12)"
13,"(5, 3, 13)"
14,"(5, 3, 14)"
15,"(5, 3, 15)"
16,"(5, 3, 16)"
17,"(5, 3, 16)"
18,"(5, 3, 17)"
19,"(5, 3, 18)"
20,"(5, 3, 18)"
21,"(5, 3, 19)"
22,"(5, 3, 19)"
23,"(5, 3, 19)"
24,"(5, 3, 19)"
25,"(5, 3, 20)"
26,"(5, 3, 20)"
27,"(5, 3, 20)"
28,"(5, 3, 21)"
29,"(5, 3, 21)"
30,"(5, 3, 21)"
31,"(5, 3, 21)"
32,"(5, 3, 21)"
33,"(5, 3, 21)"
34,"(5, 3, 21)"
35,"(5, 3, 21)"
36,"(5, 3, 21)"
37,"(5, 3, 21)"
38,"(5, 3, 21)"
39,"(5, 3, 21)"
40,"(5, 3, 21)"
41,"(5, 3, 21)"
42,"(5, 3, 21)"
43,"(5, 3, 21)"
44,"(5, 3, 21)"
45,"(5, 3, 21)"
46,"(5, 3, 21)"
47,"(5, 3, 21)"
48,"(5, 3, 21)"
49,"(5, 3, 21)"
50,"(5, 3, 21)"
