SNR,Recommendation
-13,None
-12,None
-11,None
-10,None
-9,None
-8,None
-7,None
-6,"(5, 3, 0)"
-5,"(5, 2, 0)"
-4,"(5, 3, 1)"
-3,"(5, 2, 1)"
-2,"(5, 3, 2)"
-1,"(5, 2, 2)"
0,"(5, 3, 3)"
1,"(5, 2, 3)"
2,"(5, 3, 4)"
3,"(5, 2, 4)"
4,"(5, 4, 5)"
5,"(5, 3, 6)"
6,"(5, 3, 7)"
7,"(5, 3, 8)"
8,"(5, 2, 9)"
9,"(5, 2, 10)"
10,"(5, 2, 11)"
11,"(5, 2, 12)"
12,"(5, 2, 13)"
13,"(5, 3, 15)"
14,"(5, 3, 16)"
15,"(5, 3, 16)"
16,"(5, 3, 18)"
17,"(5, 3, 19)"
18,"(5, 3, 19)"
19,"(5, 3, 20)"
20,"(5, 3, 21)"
21,"(5, 3, 22)"
22,"(5, 3, 23)"
23,"(5, 3, 24)"
24,"(5, 3, 25)"
25,"(5, 3, 25)"
26,"(5, 3, 26)"
27,"(5, 3, 26)"
28,"(5, 3, 27)"
29,"(5, 3, 27)"
30,"(5, 3, 27)"
31,"(5, 3, 27)"
32,"(5, 3, 27)"
33,"(5, 3, 27)"
34,"(5, 3, 27)"
35,"(5, 3, 27)"
36,"(5, 3, 27)"
37,"(5, 3, 27)"
38,"(5, 3, 27)"
39,"(5, 3, 27)"
40,"(5, 3, 27)"
41,"(5, 3, 27)"
42,"(5, 3, 27)"
43,"(5, 3, 27)"
44,"(5, 3, 27)"
45,"(5, 3, 27)"
46,"(5, 3, 27)"
47,"(5, 3, 27)"
48,"(5, 3, 27)"
49,"(5, 3, 27)"
50,"(5, 3, 27)"
