SNR,Recommendation
-13,None
-12,None
-11,None
-10,None
-9,None
-8,None
-7,None
-6,None
-5,None
-4,None
-3,"(5, 4, 0)"
-2,"(5, 3, 0)"
-1,"(5, 4, 1)"
0,"(5, 3, 1)"
1,"(5, 4, 2)"
2,"(5, 4, 2)"
3,"(5, 4, 3)"
4,"(5, 4, 3)"
5,"(5, 4, 3)"
6,"(5, 4, 4)"
7,"(5, 3, 5)"
8,"(5, 3, 6)"
9,"(5, 3, 7)"
10,"(5, 3, 8)"
11,"(5, 3, 8)"
12,"(5, 3, 10)"
13,"(5, 3, 10)"
14,"(5, 3, 10)"
15,"(5, 3, 11)"
16,"(5, 3, 11)"
17,"(5, 3, 11)"
18,"(5, 3, 11)"
19,"(5, 3, 11)"
20,"(5, 3, 11)"
21,"(5, 3, 11)"
22,"(5, 3, 11)"
23,"(5, 3, 11)"
24,"(5, 3, 11)"
25,"(5, 3, 11)"
26,"(5, 3, 11)"
27,"(5, 3, 11)"
28,"(5, 3, 11)"
29,"(5, 3, 11)"
30,"(5, 3, 11)"
31,"(5, 3, 11)"
32,"(5, 3, 11)"
33,"(5, 3, 11)"
34,"(5, 3, 11)"
35,"(5, 3, 11)"
36,"(5, 3, 11)"
37,"(5, 3, 11)"
38,"(5, 3, 11)"
39,"(5, 3, 11)"
40,"(5, 3, 11)"
41,"(5, 3, 11)"
42,"(5, 3, 11)"
43,"(5, 3, 11)"
44,"(5, 3, 12)"
45,"(5, 3, 12)"
46,"(5, 3, 12)"
47,"(5, 3, 13)"
48,"(5, 3, 12)"
49,"(5, 3, 12)"
50,"(5, 3, 13)"
