SNR,Recommendation
-13,None
-12,None
-11,None
-10,None
-9,None
-8,None
-7,None
-6,None
-5,None
-4,"(5, 4, 0)"
-3,"(5, 4, 1)"
-2,"(5, 4, 1)"
-1,"(5, 3, 1)"
0,"(5, 4, 2)"
1,"(5, 3, 2)"
2,"(5, 4, 3)"
3,"(5, 4, 3)"
4,"(5, 3, 3)"
5,"(5, 4, 4)"
6,"(5, 3, 5)"
7,"(5, 3, 6)"
8,"(5, 3, 7)"
9,"(5, 3, 8)"
10,"(5, 3, 9)"
11,"(5, 3, 10)"
12,"(5, 3, 11)"
13,"(5, 3, 11)"
14,"(5, 3, 11)"
15,"(5, 3, 11)"
16,"(5, 3, 12)"
17,"(5, 3, 12)"
18,"(5, 3, 12)"
19,"(5, 3, 12)"
20,"(5, 3, 12)"
21,"(5, 3, 12)"
22,"(5, 3, 12)"
23,"(5, 3, 12)"
24,"(5, 3, 13)"
25,"(5, 3, 13)"
26,"(5, 3, 13)"
27,"(5, 3, 13)"
28,"(5, 3, 13)"
29,"(5, 3, 13)"
30,"(5, 3, 13)"
31,"(5, 3, 13)"
32,"(5, 3, 13)"
33,"(5, 3, 13)"
34,"(5, 3, 13)"
35,"(5, 3, 13)"
36,"(5, 3, 13)"
37,"(5, 3, 13)"
38,"(5, 3, 13)"
39,"(5, 3, 13)"
40,"(5, 3, 13)"
41,"(5, 3, 13)"
42,"(5, 3, 13)"
43,"(5, 3, 13)"
44,"(5, 3, 12)"
45,"(5, 3, 12)"
46,"(5, 3, 12)"
47,"(5, 3, 13)"
48,"(5, 3, 12)"
49,"(5, 3, 12)"
50,"(5, 3, 13)"
