SNR,Recommendation
-13,None
-12,None
-11,None
-10,None
-9,None
-8,None
-7,None
-6,None
-5,None
-4,None
-3,"(5, 2, 0)"
-2,"(5, 2, 0)"
-1,"(5, 2, 1)"
0,"(5, 2, 1)"
1,"(5, 2, 2)"
2,"(5, 2, 2)"
3,"(5, 2, 3)"
4,"(5, 2, 3)"
5,"(5, 2, 4)"
6,"(5, 2, 4)"
7,"(5, 2, 5)"
8,"(5, 3, 6)"
9,"(5, 2, 7)"
10,"(5, 2, 8)"
11,"(5, 2, 9)"
12,"(5, 2, 10)"
13,"(5, 2, 11)"
14,"(5, 2, 12)"
15,"(5, 2, 13)"
16,"(5, 3, 15)"
17,"(5, 3, 16)"
18,"(5, 2, 16)"
19,"(5, 2, 17)"
20,"(5, 2, 18)"
21,"(5, 2, 19)"
22,"(5, 3, 21)"
23,"(5, 3, 21)"
24,"(5, 3, 22)"
25,"(5, 3, 23)"
26,"(5, 3, 24)"
27,"(5, 3, 25)"
28,"(5, 2, 25)"
29,"(5, 2, 26)"
30,"(5, 3, 27)"
31,"(5, 2, 27)"
32,"(5, 2, 27)"
33,"(5, 2, 27)"
34,"(5, 2, 27)"
35,"(5, 2, 27)"
36,"(5, 2, 27)"
37,"(5, 2, 27)"
38,"(5, 2, 27)"
39,"(5, 2, 27)"
40,"(5, 2, 27)"
41,"(5, 2, 27)"
42,"(5, 2, 27)"
43,"(5, 2, 27)"
44,"(5, 2, 27)"
45,"(5, 2, 27)"
