SNR,Recommendation
-13,None
-12,None
-11,None
-10,None
-9,None
-8,None
-7,None
-6,None
-5,"(5, 3, 0)"
-4,"(5, 2, 0)"
-3,"(5, 3, 1)"
-2,"(5, 2, 1)"
-1,"(5, 3, 2)"
0,"(5, 2, 2)"
1,"(5, 3, 3)"
2,"(5, 2, 3)"
3,"(5, 3, 4)"
4,"(5, 3, 4)"
5,"(5, 4, 5)"
6,"(5, 3, 6)"
7,"(5, 2, 7)"
8,"(5, 2, 8)"
9,"(5, 3, 10)"
10,"(5, 3, 11)"
11,"(5, 3, 11)"
12,"(5, 3, 13)"
13,"(5, 3, 14)"
14,"(5, 3, 15)"
15,"(5, 3, 16)"
16,"(5, 3, 16)"
17,"(5, 3, 17)"
18,"(5, 3, 18)"
19,"(5, 3, 19)"
20,"(5, 3, 19)"
21,"(5, 3, 21)"
22,"(5, 3, 21)"
23,"(5, 3, 22)"
24,"(5, 3, 22)"
25,"(5, 3, 22)"
26,"(5, 3, 23)"
27,"(5, 3, 23)"
28,"(5, 3, 23)"
29,"(5, 3, 24)"
30,"(5, 3, 24)"
31,"(5, 3, 24)"
32,"(5, 3, 24)"
33,"(5, 3, 24)"
34,"(5, 3, 24)"
35,"(5, 3, 24)"
36,"(5, 3, 24)"
37,"(5, 3, 24)"
38,"(5, 3, 24)"
39,"(5, 3, 24)"
40,"(5, 3, 24)"
41,"(5, 3, 24)"
42,"(5, 3, 24)"
43,"(5, 3, 24)"
44,"(5, 3, 24)"
45,"(5, 3, 24)"
