SNR,Recommendation
-13,None
-12,None
-11,None
-10,None
-9,None
-8,None
-7,None
-6,None
-5,None
-4,"(5, 2, 0)"
-3,"(5, 2, 0)"
-2,"(5, 2, 1)"
-1,"(5, 2, 1)"
0,"(5, 2, 2)"
1,"(5, 2, 2)"
2,"(5, 2, 3)"
3,"(5, 2, 3)"
4,"(5, 2, 4)"
5,"(5, 2, 4)"
6,"(5, 3, 5)"
7,"(5, 2, 6)"
8,"(5, 2, 7)"
9,"(5, 2, 8)"
10,"(5, 3, 10)"
11,"(5, 2, 10)"
12,"(5, 2, 11)"
13,"(5, 3, 13)"
14,"(5, 3, 14)"
15,"(5, 3, 15)"
16,"(5, 3, 16)"
17,"(5, 3, 17)"
18,"(5, 3, 18)"
19,"(5, 3, 19)"
20,"(5, 3, 19)"
21,"(5, 3, 21)"
22,"(5, 3, 21)"
23,"(5, 3, 22)"
24,"(5, 3, 23)"
25,"(5, 3, 24)"
26,"(5, 3, 25)"
27,"(5, 3, 25)"
28,"(5, 3, 26)"
29,"(5, 3, 27)"
30,"(5, 3, 27)"
31,"(5, 3, 27)"
32,"(5, 3, 27)"
33,"(5, 3, 27)"
34,"(5, 3, 27)"
35,"(5, 3, 27)"
36,"(5, 3, 27)"
37,"(5, 3, 27)"
38,"(5, 3, 27)"
39,"(5, 3, 27)"
40,"(5, 3, 27)"
41,"(5, 3, 27)"
42,"(5, 3, 27)"
43,"(5, 3, 27)"
44,"(5, 3, 27)"
45,"(5, 3, 27)"
