dmrsNum,subchNum,mcsIndex,TBS
2,1,0,152
2,1,1,288
2,1,2,504
2,1,3,768
2,1,4,1064
2,1,5,1288
2,1,6,1544
2,1,7,1736
2,1,8,2024
2,1,9,2152
2,1,10,2408
2,1,11,2408
2,1,12,2728
2,1,13,2976
2,1,14,3240
2,1,15,3624
2,1,16,3840
2,1,17,4096
2,1,18,4352
2,1,19,4736
2,1,20,4864
2,1,21,4992
2,1,22,5376
2,1,23,5632
2,1,24,6016
2,1,25,6400
2,1,26,6528
2,1,27,6784
2,2,0,480
2,2,1,808
2,2,2,1320
2,2,3,1928
2,2,4,2600
2,2,5,3240
2,2,6,3752
2,2,7,4224
2,2,8,4736
2,2,9,5376
2,2,10,5760
2,2,11,6016
2,2,12,6656
2,2,13,7296
2,2,14,8064
2,2,15,8712
2,2,16,9480
2,2,17,9992
2,2,18,10760
2,2,19,11528
2,2,20,11784
2,2,21,12296
2,2,22,13064
2,2,23,13832
2,2,24,14600
2,2,25,15368
2,2,26,16136
2,2,27,16392
3,2,0,456
3,2,1,768
3,2,2,1288
3,2,3,1928
3,2,4,2536
3,2,5,3240
3,2,6,3624
3,2,7,4096
3,2,8,4608
3,2,9,5120
3,2,10,5504
3,2,11,5888
3,2,12,6528
3,2,13,7168
3,2,14,7808
3,2,15,8456
3,2,16,9224
3,2,17,9736
3,2,18,10504
3,2,19,11016
3,2,20,11528
3,2,21,12040
3,2,22,12808
3,2,23,13576
3,2,24,14344
3,2,25,15112
3,2,26,15624
3,2,27,16136
4,2,0,432
4,2,1,736
4,2,2,1192
4,2,3,1800
4,2,4,2408
4,2,5,2976
4,2,6,3496
4,2,7,3840
4,2,8,4352
4,2,9,4864
4,2,10,5248
4,2,11,5504
4,2,12,6144
4,2,13,6784
4,2,14,7296
4,2,15,7936
4,2,16,8712
4,2,17,9224
4,2,18,9992
4,2,19,10504
4,2,20,11016
4,2,21,11272
4,2,22,12040
4,2,23,12808
4,2,24,13576
4,2,25,14344
4,2,26,14856
4,2,27,15368
2,3,0,808
2,3,1,1288
2,3,2,2088
2,3,3,3104
2,3,4,4096
2,3,5,5120
2,3,6,5888
2,3,7,6784
2,3,8,7680
2,3,9,8456
2,3,10,9224
2,3,11,9736
2,3,12,10760
2,3,13,11784
2,3,14,12808
2,3,15,13832
2,3,16,14856
2,3,17,16136
2,3,18,16896
2,3,19,18432
2,3,20,18960
2,3,21,19464
2,3,22,21000
2,3,23,22032
2,3,24,23568
2,3,25,24576
2,3,26,25608
2,3,27,26632
3,3,0,768
3,3,1,1256
3,3,2,2024
3,3,3,2976
3,3,4,4032
3,3,5,4992
3,3,6,5760
3,3,7,6528
3,3,8,7296
3,3,9,8192
3,3,10,8712
3,3,11,9224
3,3,12,10248
3,3,13,11272
3,3,14,12296
3,3,15,13320
3,3,16,14344
3,3,17,15624
3,3,18,16392
3,3,19,17424
3,3,20,18432
3,3,21,18960
3,3,22,19968
3,3,23,21504
3,3,24,22536
3,3,25,23568
3,3,26,24576
3,3,27,25608
4,3,0,704
4,3,1,1192
4,3,2,1928
4,3,3,2856
4,3,4,3824
4,3,5,4736
4,3,6,5376
4,3,7,6144
4,3,8,6912
4,3,9,7808
4,3,10,8456
4,3,11,8712
4,3,12,9736
4,3,13,10760
4,3,14,11784
4,3,15,12552
4,3,16,13576
4,3,17,14600
4,3,18,15624
4,3,19,16896
4,3,20,17424
4,3,21,17928
4,3,22,18960
4,3,23,20496
4,3,24,21504
4,3,25,22536
4,3,26,23568
4,3,27,24072
2,4,0,1128
2,4,1,1800
2,4,2,2976
2,4,3,4224
2,4,4,5632
2,4,5,7168
2,4,6,8192
2,4,7,9224
2,4,8,10504
2,4,9,11784
2,4,10,12552
2,4,11,13320
2,4,12,14600
2,4,13,16136
2,4,14,17424
2,4,15,18960
2,4,16,20496
2,4,17,22032
2,4,18,23568
2,4,19,25104
2,4,20,26120
2,4,21,27144
2,4,22,28680
2,4,23,30216
2,4,24,32264
2,4,25,33816
2,4,26,34816
2,4,27,35856
3,4,0,1064
3,4,1,1736
3,4,2,2792
3,4,3,4096
3,4,4,5504
3,4,5,6784
3,4,6,7936
3,4,7,8968
3,4,8,9992
3,4,9,11272
3,4,10,12040
3,4,11,12808
3,4,12,14088
3,4,13,15624
3,4,14,16896
3,4,15,18432
3,4,16,19968
3,4,17,21000
3,4,18,22536
3,4,19,24072
3,4,20,25104
3,4,21,26120
3,4,22,27656
3,4,23,29192
3,4,24,30728
3,4,25,32264
3,4,26,33816
3,4,27,34816
4,4,0,984
4,4,1,1672
4,4,2,2664
4,4,3,3840
4,4,4,5248
4,4,5,6528
4,4,6,7424
4,4,7,8456
4,4,8,9480
4,4,9,10760
4,4,10,11528
4,4,11,12040
4,4,12,13320
4,4,13,14856
4,4,14,16136
4,4,15,17424
4,4,16,18960
4,4,17,19968
4,4,18,21504
4,4,19,23040
4,4,20,23568
4,4,21,24576
4,4,22,26120
4,4,23,27656
4,4,24,29192
4,4,25,30728
4,4,26,31752
4,4,27,32776
2,5,0,1416
2,5,1,2280
2,5,2,3752
2,5,3,5376
2,5,4,7296
2,5,5,8968
2,5,6,10504
2,5,7,11784
2,5,8,13320
2,5,9,14856
2,5,10,15880
2,5,11,16896
2,5,12,18432
2,5,13,20496
2,5,14,22536
2,5,15,24072
2,5,16,26120
2,5,17,28168
2,5,18,29704
2,5,19,31752
2,5,20,32776
2,5,21,34816
2,5,22,36896
2,5,23,38936
2,5,24,40976
2,5,25,43032
2,5,26,44040
2,5,27,46104
3,5,0,1352
3,5,1,2216
3,5,2,3624
3,5,3,5120
3,5,4,6912
3,5,5,8712
3,5,6,9992
3,5,7,11272
3,5,8,12808
3,5,9,14344
3,5,10,15368
3,5,11,16136
3,5,12,17928
3,5,13,19464
3,5,14,21504
3,5,15,23040
3,5,16,25104
3,5,17,27144
3,5,18,28680
3,5,19,30728
3,5,20,31752
3,5,21,32776
3,5,22,34816
3,5,23,36896
3,5,24,38936
3,5,25,40976
3,5,26,43032
3,5,27,44040
4,5,0,1288
4,5,1,2088
4,5,2,3368
4,5,3,4864
4,5,4,6656
4,5,5,8192
4,5,6,9480
4,5,7,10760
4,5,8,12040
4,5,9,13576
4,5,10,14600
4,5,11,15368
4,5,12,16896
4,5,13,18960
4,5,14,20496
4,5,15,22032
4,5,16,23568
4,5,17,25608
4,5,18,27144
4,5,19,29192
4,5,20,30216
4,5,21,31240
4,5,22,33816
4,5,23,34816
4,5,24,36896
4,5,25,38936
4,5,26,40976
4,5,27,42016
