0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
"(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)"
"(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)"
"(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)"
"(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)"
"(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)"
"(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)"
"(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)"
"(1.0, 0.0)","(0.8278948596144711, 234.75196711181908)","(0.7313681926144461, 366.41465252751095)","(0.6442011025826937, 485.3108447419271)","(0.5582593869540216, 602.5356223145308)","(0.48173433507513064, 706.9160401315813)","(0.4101426431982399, 804.5673389789948)","(0.3521349501212591, 883.6900196086135)","(0.29546282221166587, 960.9909850381636)","(0.24337179788484137, 1032.0433103911364)","(0.19992610195764685, 1091.3033798963493)","(0.16734990624296822, 1135.7374160204872)","(0.14127540815561168, 1171.3031155908122)","(0.11845574168062604, 1202.4292143339324)","(0.098247021026577, 1229.9939745480913)","(0.08220475035627672, 1251.875683533408)","(0.07039530964822362, 1267.983798784909)","(0.06050203765282396, 1281.4782537261722)","(0.05296304222816711, 1291.7614678243724)","(0.04685165887441558, 1300.0974144489408)","(0.04248474135560167, 1306.0539040428032)","(0.03931885891441858, 1310.3721779133436)","(0.03633884041303098, 1314.4369327699578)","(0.03363186488986674, 1318.1292561227806)","(0.031706402980223515, 1320.7555923837144)","(0.030024776858264372, 1323.0493358430454)","(0.028405990449283696, 1325.2573657310013)","(0.027427992099407453, 1326.591358637612)","(0.026439372952971475, 1327.9398383450189)","(0.0252569242693202, 1329.5527021669482)","(0.024397082281171087, 1330.7255294147062)","(0.02364035052628947, 1331.7577139714049)","(0.0230752356426732, 1332.52853249708)","(0.022517643823286748, 1333.2890895388582)","(0.0218857064279821, 1334.1510541862067)","(0.021408213115983697, 1334.8023566053168)","(0.020923639272945473, 1335.4633168916241)","(0.020416938770407782, 1336.1544580129223)","(0.01991643373252994, 1336.8371485004234)","(0.019541165587419057, 1337.349015461874)","(0.019092436932769956, 1337.9610827954953)","(0.018647248543640773, 1338.5683211955181)","(0.01830163012225917, 1339.0397458380808)","(0.01794716103707778, 1339.5232428146396)","(0.017592691951896392, 1340.0067397911987)","(0.017231142335675177, 1340.499894634955)","(0.0168514488586644, 1341.0177977634037)","(0.016519991499362452, 1341.4699066715718)","(0.01617924094307073, 1341.934691530436)","(0.015793352001400106, 1342.4610452926827)","(0.015441538115358653, 1342.9409205690426)","(0.015105212890966824, 1343.399669260909)","(0.014779065929944747, 1343.844534768679)","(0.014427252043903292, 1344.3244100450393)","(0.014089599219941497, 1344.7849695870048)","(0.013765664924869365, 1345.226817011276)","(0.01343199489961747, 1345.681944002943)","(0.01307354301572618, 1346.1708735298005)","(0.012761999649973748, 1346.5958196864765)","(0.012429657224291821, 1347.0491358280442)","(0.012107935595169638, 1347.4879651688163)","(0.0117884266319974, 1347.923776426089)","(0.011462279670975323, 1348.3686419338592)","(0.011114891116833763, 1348.8424810432211)","(0.010784318823911794, 1349.2933827179895)","(0.010452418931419858, 1349.7460952428576)","(0.010120076505737931, 1350.1994113844253)","(0.009794814611095833, 1350.6430696587959)","(0.009465569917743832, 1351.0921604834648)","(0.009123934295072132, 1351.5581525757289)"
"(0.0028, 1352.0)","(0.002400643842931077, 1363.1125191532221)","(0.0021766614638955065, 1369.3450723089945)","(0.001974397231578083, 1374.9732944256534)","(0.001774976382157233, 1380.5223963225812)","(0.0015974061447465704, 1385.4634811896608)","(0.0014312833730386922, 1390.0860278806626)","(0.001296681179659903, 1393.8314802181594)","(0.0011651780579972069, 1397.4906975165995)","(0.0010443050193050193, 1400.8541212019472)","(0.0009434927708863879, 1403.6593315927266)","(0.0008679023248172184, 1405.7627179181295)","(0.0008073985459623758, 1407.4463013297425)","(0.0007544473424792574, 1408.9197261223164)","(0.0007075546290971823, 1410.2245668425132)","(0.0006703298283085517, 1411.2603873861967)","(0.0006429269695227142, 1412.0229017176287)","(0.0006199704263534051, 1412.6616924840791)","(0.0006024767929023248, 1413.1484718496743)","(0.0005882958186149676, 1413.5430728733227)","(0.0005781627372052904, 1413.8250368777658)","(0.0005708165612420932, 1414.0294522089157)","(0.0005639016676250719, 1414.2218666399979)","(0.0005576203483118377, 1414.39665117741)","(0.0005531524685780005, 1414.5209747873948)","(0.000549250390207837, 1414.6295543594342)","(0.0005454941263451902, 1414.7340764843077)","(0.0005432247597141214, 1414.79722407752)","(0.0005409307483775569, 1414.8610574364507)","(0.0005381869711656946, 1414.9374060197374)","(0.0005361917768832663, 1414.9929244693353)","(0.0005344358416166927, 1415.0417852767528)","(0.0005331245379117719, 1415.0782737276725)","(0.0005318306908732441, 1415.114276427875)","(0.0005303643308962458, 1415.1550794881043)","(0.0005292563460116652, 1415.1859103718493)","(0.0005281319313234207, 1415.2171984327395)","(0.0005269561734987268, 1415.2499151722093)","(0.0005257947917522386, 1415.282231881677)","(0.0005249240121580548, 1415.3064622703846)","(0.0005238827733508584, 1415.335435871976)","(0.0005228497494454941, 1415.364180884995)","(0.0005220477696541526, 1415.386496844406)","(0.0005212252526082313, 1415.4093842752493)","(0.0005204027355623101, 1415.4322717060923)","(0.0005195637887127249, 1415.4556163140808)","(0.0005186827404912511, 1415.4801324385041)","(0.0005179136203072373, 1415.5015340436246)","(0.0005171229360059147, 1415.5235356937485)","(0.0005162275117062351, 1415.5484518481744)","(0.0005154111558366879, 1415.5711678375878)","(0.0005146307401626551, 1415.5928837519957)","(0.0005138739423313892, 1415.6139424742569)","(0.0005130575864618418, 1415.6366584636705)","(0.0005122740901996221, 1415.658460098793)","(0.0005115224266820012, 1415.6793759531965)","(0.0005107481721843424, 1415.700920426175)","(0.0005099164133738602, 1415.7240650191623)","(0.000509193502012651, 1415.744180813561)","(0.0005084223281031792, 1415.7656395658246)","(0.0005076757988992032, 1415.78641255237)","(0.0005069344040088722, 1415.8070426710576)","(0.0005061776061776062, 1415.8281013933185)","(0.0005053715189353488, 1415.8505316470164)","(0.0005046044524767929, 1415.8718761049936)","(0.0005038343054300501, 1415.8933062836854)","(0.0005030631315205784, 1415.9147650359491)","(0.0005023083874147704, 1415.9357666110673)","(0.0005015444015444016, 1415.9570253483296)","(0.000500751663517621, 1415.9790841455967)"
"(0.0, 1416.0)","(0.00114597853767604, 1566.0190085684997)","(0.0017887105818650683, 1650.158476171427)","(0.002369120987645502, 1726.1394747463203)","(0.0029413721207662002, 1801.052350354848)","(0.003450921497683755, 1867.7569960604187)","(0.003927621625193318, 1930.1613763889434)","(0.00431387139749767, 1980.7249829451496)","(0.00469122818139932, 2030.1244164740929)","(0.005038081248950814, 2075.530636226288)","(0.00532736857049993, 2113.400976501809)","(0.0055442802853071125, 2141.796691894749)","(0.005717899824629704, 2164.5250679515248)","(0.005869846756363871, 2184.4163026512706)","(0.006004408455634173, 2202.0316523739284)","(0.006111227449201548, 2216.0152297136574)","(0.006189861739630472, 2226.309173187989)","(0.006255737037420664, 2234.932848535069)","(0.006305936159497676, 2241.504369970605)","(0.006346629390061398, 2246.8314837898556)","(0.006375706928019601, 2250.6379978498385)","(0.006396787259044428, 2253.3976048203617)","(0.006416629997249793, 2255.9951996399727)","(0.006434654652670379, 2258.354790895032)","(0.006447475524950085, 2260.0331596298292)","(0.006458672793316642, 2261.49898385236)","(0.0064694516374442365, 2262.9100325381546)","(0.00647596373299426, 2263.762525046521)","(0.0064825465481339675, 2264.624275392083)","(0.0064904199957853985, 2265.654981266452)","(0.006496145335900192, 2266.4044803360252)","(0.006501184106665142, 2267.064101236164)","(0.006504946978166219, 2267.5566953235775)","(0.006508659756624604, 2268.0427317763115)","(0.006512867572210773, 2268.5935730894103)","(0.006516047007096961, 2269.009790019966)","(0.006519273588376271, 2269.4321788419848)","(0.006522647502134088, 2269.873854824826)","(0.006525980162797924, 2270.3101304026372)","(0.006528478921633408, 2270.6372406501914)","(0.006531466824297536, 2271.0283842716776)","(0.006534431153765103, 2271.416441947432)","(0.006536732487079388, 2271.7177073994835)","(0.0065390927533850755, 2272.0266877158647)","(0.006541453019690763, 2272.3356680322454)","(0.006543860432389572, 2272.650820240089)","(0.006546388657720757, 2272.9817879198085)","(0.006548595698248797, 2273.2707095889336)","(0.006550864618417809, 2273.567731865604)","(0.0065534340968429776, 2273.9040999503536)","(0.006555776683251244, 2274.2107658074356)","(0.006558016136924555, 2274.503930651942)","(0.006560187817657753, 2274.788223402469)","(0.00656253040406602, 2275.0948892595516)","(0.00656477869768804, 2275.389211333707)","(0.006566935645173388, 2275.671575368153)","(0.006569157418949278, 2275.96242575336)","(0.006571544205101097, 2276.274877758689)","(0.00657361864639848, 2276.546440983074)","(0.00657583158022566, 2276.8361341386317)","(0.006577973794463157, 2277.116569456995)","(0.006580101275452802, 2277.3950760592757)","(0.006582272956185999, 2277.6793688098037)","(0.006584586076098564, 2277.982177234721)","(0.0065867872233274635, 2278.2703274174137)","(0.0065889972105050735, 2278.559634829755)","(0.006591210144332254, 2278.8493279853133)","(0.006593375931766311, 2279.132849249408)","(0.0065955682390465, 2279.4198422024506)","(0.006597843052514653, 2279.717635965555)"
