0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
"(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)"
"(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)"
"(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)"
"(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)"
"(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)"
"(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)"
"(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)"
"(0.0935, 1352.0)","(0.07995661728201042, 1363.1125191532221)","(0.07236069312341283, 1369.3450723089945)","(0.06550129741873498, 1374.9732944256534)","(0.05873832948185399, 1380.5223963225812)","(0.05271638230010108, 1385.4634811896608)","(0.0470826535204426, 1390.0860278806626)","(0.04251788348411846, 1393.8314802181594)","(0.038058212401644406, 1397.4906975165995)","(0.03395903978512674, 1400.8541212019472)","(0.03054018962136446, 1403.6593315927266)","(0.027976687537279582, 1405.7627179181295)","(0.025924820254376223, 1407.4463013297425)","(0.02412908378842699, 1408.9197261223164)","(0.022538809160687054, 1410.2245668425132)","(0.021276402873072624, 1411.2603873861967)","(0.020347088531639874, 1412.0229017176287)","(0.01956856228502852, 1412.6616924840791)","(0.018975299933209275, 1413.1484718496743)","(0.01849437993563803, 1413.5430728733227)","(0.018150736305222893, 1413.8250368777658)","(0.01790160512038403, 1414.0294522089157)","(0.017667100032502436, 1414.2218666399979)","(0.017454081377531887, 1414.39665117741)","(0.017302561977862625, 1414.5209747873948)","(0.01717023062443969, 1414.6295543594342)","(0.017042844284749926, 1414.7340764843077)","(0.016965883155522377, 1414.79722407752)","(0.01688808624932584, 1414.8610574364507)","(0.016795036413445295, 1414.9374060197374)","(0.016727373302997724, 1414.9929244693353)","(0.016667824193957403, 1415.0417852767528)","(0.016623353894399222, 1415.0782737276725)","(0.01657947560352741, 1415.114276427875)","(0.016529746873872684, 1415.1550794881043)","(0.016492171734308645, 1415.1859103718493)","(0.016454039410098615, 1415.2171984327395)","(0.01641416588386986, 1415.2499151722093)","(0.016374779894206354, 1415.282231881677)","(0.016345249107968814, 1415.3064622703846)","(0.016309937531029113, 1415.335435871976)","(0.016274904546412408, 1415.364180884995)","(0.01624770697087996, 1415.386496844406)","(0.01621981291454002, 1415.4093842752493)","(0.01619191885820008, 1415.4322717060923)","(0.01616346761721415, 1415.4556163140808)","(0.016133588590572862, 1415.4801324385041)","(0.016107505384332397, 1415.5015340436246)","(0.016080690873244062, 1415.5235356937485)","(0.01605032431003754, 1415.5484518481744)","(0.016022639197939847, 1415.5711678375878)","(0.015996172927255258, 1415.5928837519957)","(0.015970507609499283, 1415.6139424742569)","(0.01594282249740159, 1415.6366584636705)","(0.015916251754595878, 1415.658460098793)","(0.015890760557041778, 1415.6793759531965)","(0.015864503230599437, 1415.700920426175)","(0.015836295757896128, 1415.7240650191623)","(0.01581177963347251, 1415.744180813561)","(0.015785626779151293, 1415.7656395658246)","(0.015760309701799063, 1415.78641255237)","(0.015735166744648706, 1415.8070426710576)","(0.01570950142689273, 1415.8281013933185)","(0.01568216455519878, 1415.8505316470164)","(0.015656150997039063, 1415.8718761049936)","(0.01563003296675822, 1415.8933062836854)","(0.015603880112437005, 1415.9147650359491)","(0.01557828444276178, 1415.9357666110673)","(0.015552375356723182, 1415.9570253483296)","(0.015525491197554102, 1415.9790841455967)"
"(0.0163, 1416.0)","(0.013556596834048265, 1415.9999999999998)","(0.012017935273716956, 1416.0)","(0.010628467938666827, 1416.0)","(0.009258533407862733, 1416.0)","(0.008038703081302527, 1416.0)","(0.006897511866961451, 1416.0)","(0.005972853321141942, 1416.0)","(0.005069484050589508, 1416.0)","(0.004239138828269263, 1416.0)","(0.003546602513045621, 1416.0)","(0.003027329013961761, 1416.0)","(0.0026116943592197988, 1416.0)","(0.002247942613553159, 1416.0)","(0.0019258100607545564, 1416.0)","(0.0016700918640326595, 1416.0)","(0.0014818461384603844, 1415.9999999999998)","(0.0013241446679929565, 1416.0)","(0.0012039710121116225, 1416.0)","(0.0011065538843984728, 1416.0)","(0.00103694402080156, 1416.0)","(0.0009864789859239443, 1416.0)","(0.0009389766732504938, 1416.0)","(0.0008958267405769719, 1416.0000000000002)","(0.0008651343493619164, 1416.0)","(0.0008383287675147065, 1416.0)","(0.0008125248679365237, 1416.0)","(0.0007969353058622253, 1415.9999999999998)","(0.0007811764453762604, 1416.0)","(0.00076232788887738, 1416.0000000000002)","(0.0007486217716328725, 1416.0)","(0.0007365592598016279, 1416.0)","(0.0007275511734808681, 1416.0)","(0.0007186630068683723, 1416.0)","(0.0007085897513742102, 1416.0)","(0.0007009783769496997, 1416.0)","(0.0006932541369174116, 1416.0)","(0.0006851771918608182, 1415.9999999999998)","(0.0006771990042110301, 1416.0)","(0.0006712171269988107, 1416.0)","(0.0006640642691058972, 1416.0)","(0.0006569678440168727, 1416.0)","(0.0006514585915372224, 1416.0)","(0.0006458082570478499, 1416.0)","(0.0006401579225584777, 1416.0)","(0.0006343947224613275, 1416.0)","(0.0006283423042442468, 1415.9999999999998)","(0.0006230587829801521, 1416.0)","(0.000617627125605849, 1416.0)","(0.0006114759499819629, 1416.0)","(0.0006058679400955073, 1416.0)","(0.0006005068237260652, 1416.0)","(0.0005953079516678037, 1415.9999999999998)","(0.0005896999417813478, 1416.0)","(0.0005843176631104476, 1416.0)","(0.0005791540615546166, 1416.0)","(0.0005738352697880913, 1416.0)","(0.0005681214483943439, 1416.0000000000002)","(0.0005631553616521239, 1415.9999999999998)","(0.0005578577321870569, 1416.0)","(0.0005527294011336564, 1416.0)","(0.0005476363405826866, 1416.0)","(0.000542437468524425, 1415.9999999999998)","(0.0005368999996428304, 1416.0)","(0.0005316305865797078, 1416.0)","(0.0005263400112151268, 1416.0)","(0.0005210423817500598, 1416.0)","(0.0005158576178927705, 1416.0)","(0.0005106093671311063, 1415.9999999999998)","(0.000505163601555831, 1416.0)"
"(0.0615, 2216.0)","(0.05196754216387658, 2227.112519153222)","(0.046621180159940566, 2233.3450723089945)","(0.04179322087549424, 2238.9732944256534)","(0.0370331319045357, 2244.5223963225812)","(0.032794607541994224, 2249.4634811896603)","(0.02882932920861922, 2254.086027880662)","(0.025616433375360296, 2257.8314802181594)","(0.022477511036542025, 2261.4906975165995)","(0.01959232415645459, 2264.8541212019472)","(0.017185979618114217, 2267.6593315927266)","(0.015381668535854473, 2269.7627179181295)","(0.013937469640580187, 2271.4463013297427)","(0.012673547435700535, 2272.9197261223167)","(0.011554238755406655, 2274.2245668425135)","(0.01066569894527804, 2275.260387386197)","(0.010011604620346524, 2276.0229017176284)","(0.009463641916000843, 2276.661692484079)","(0.009046076491451144, 2277.1484718496745)","(0.00870758280085292, 2277.5430728733227)","(0.008465710553291497, 2277.825036877766)","(0.008290360527039528, 2278.0294522089157)","(0.008125305022876715, 2278.221866639998)","(0.007975372661878213, 2278.39665117741)","(0.007868726315187924, 2278.520974787395)","(0.007775585401047936, 2278.629554359434)","(0.0076859250158047565, 2278.7340764843075)","(0.007631756221002289, 2278.79722407752)","(0.007576999167794728, 2278.8610574364507)","(0.007511506398694188, 2278.9374060197374)","(0.007463881978648399, 2278.992924469335)","(0.007421968567285403, 2279.0417852767528)","(0.007390668317980991, 2279.0782737276722)","(0.007359784751713522, 2279.1142764278748)","(0.007324783376610388, 2279.1550794881045)","(0.007298336259148008, 2279.1859103718493)","(0.007271496969415563, 2279.2171984327397)","(0.0072434321413391714, 2279.249915172209)","(0.007215710463999086, 2279.282231881677)","(0.007194925333685741, 2279.3064622703846)","(0.007170071416070491, 2279.335435871976)","(0.007145413584590273, 2279.3641808849948)","(0.0071262706756578175, 2279.3864968444063)","(0.0071066375513877825, 2279.409384275249)","(0.007087004427117748, 2279.4322717060923)","(0.00706697913057765, 2279.4556163140805)","(0.0070459488925955155, 2279.4801324385044)","(0.007027590328203187, 2279.501534043625)","(0.007008717037706399, 2279.5235356937483)","(0.00698734364898796, 2279.5484518481744)","(0.006967857589319199, 2279.571167837588)","(0.006949229406491201, 2279.592883751996)","(0.006931164971301419, 2279.613942474257)","(0.006911678911632658, 2279.6366584636703)","(0.006892977196504023, 2279.658460098793)","(0.006875035315148636, 2279.6793759531965)","(0.006856554196921912, 2279.700920426175)","(0.0068367004757499674, 2279.724065019162)","(0.0068194448958671895, 2279.7441808135613)","(0.0068010373099411025, 2279.7656395658246)","(0.006783217982420111, 2279.78641255237)","(0.006765521208733512, 2279.8070426710574)","(0.00674745677354373, 2279.828101393319)","(0.006728215821543758, 2279.850531647016)","(0.006709906278685187, 2279.8718761049936)","(0.006691523203525979, 2279.8933062836854)","(0.006673115617599892, 2279.914765035949)","(0.006655100203943868, 2279.9357666110673)","(0.006636864193385932, 2279.9570253483294)","(0.0066179418813553876, 2279.979084145597)"
