70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139
"(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)"
"(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)"
"(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)"
"(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)"
"(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)"
"(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)"
"(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)"
"(1.0, 0.0)","(0.999409107922645, 0.8812863635784944)","(0.9988059055936785, 1.7809328597315408)","(0.9982411728009981, 2.623203941589112)","(0.997661821584529, 3.4872776808789645)","(0.9970893948845914, 4.341023845595631)","(0.9965131212310252, 5.200507551741844)","(0.9959830110210024, 5.991140760733488)","(0.9953851944271158, 6.882754698885169)","(0.994824308588064, 7.719288239313192)","(0.9942395716365149, 8.591394536604412)","(0.9936625285922229, 9.452025751036535)","(0.9930777916406737, 10.324132048327753)","(0.9925284466625078, 11.143452964467135)","(0.9919460178831359, 12.012116736900625)","(0.9913497400707008, 12.901435658480485)","(0.9907457683510085, 13.80222966291944)","(0.9901871906841339, 14.635320678489736)","(0.9895678311499272, 15.559064848646882)","(0.9889815554169266, 16.43346616250992)","(0.9883737367436057, 17.339997708378423)","(0.9877851528384279, 18.21784154709919)","(0.9871811811187357, 19.118635551538144)","(0.9866518402994385, 19.908121252243877)","(0.9860678727386151, 20.779080041249188)","(0.9854992929923061, 21.627088664536306)","(0.9848953212726138, 22.527882668975263)","(0.9842913495529216, 23.42867667341422)","(0.9836712206279892, 24.353568351857273)","(0.9830603243917655, 25.264689930869416)","(0.9824432730297359, 26.184991576168834)","(0.9818900810979413, 27.010050033737762)","(0.9813184237887295, 27.86264869016852)","(0.9807267623206488, 28.745082562032923)","(0.9801504886670825, 29.604566268179134)","(0.9795803701393221, 30.454869908038077)","(0.9790048658764816, 31.31320610589838)","(0.9783916614680807, 32.227770209768245)","(0.977783073404034, 33.13544926392266)","(0.9770452276980661, 34.23590971010987)","(0.9760111665626949, 35.77816084637224)","(0.9751102100228737, 37.12189304917226)","(0.9742154086088584, 38.456445185685)","(0.972765876481597, 40.6183507963385)","(0.9713702017051362, 42.699930826978324)","(0.9700353087960075, 44.690857703031305)","(0.9675017051362029, 48.46960248853128)","(0.9642510293200249, 53.31782499649891)","(0.9603963817841548, 59.0668415089055)","(0.9554184237887295, 66.49122011873995)","(0.9485616136410896, 76.71781396276539)","(0.9394389478061967, 90.3238197087943)","(0.9284189644416718, 106.75958088787606)","(0.9143914327302973, 127.68095195657801)","(0.8970839883551673, 153.49415084811218)","(0.8757410896236223, 185.32603069924164)","(0.8508274485339987, 222.4834965052771)","(0.8226792888334373, 264.4650871452761)","(0.784942212518195, 320.74807355256513)","(0.7366083177375754, 392.8356915816857)","(0.6890230401330838, 463.8067840486163)","(0.6391772925764192, 538.149255859549)","(0.58533917654398, 618.4461481660662)","(0.5283380952380953, 703.4604470359571)","(0.4647417966313163, 798.3111869326644)","(0.4000568101476399, 894.7856510539337)","(0.33924262840507385, 985.4870009887924)","(0.27543859430234974, 1080.647568122695)","(0.20618342690788105, 1183.938231462267)","(0.1447275733000624, 1275.5966033075738)"
"(0.0197, 1352.0)","(0.019697783747310526, 1352.0417176976841)","(0.01969552132269002, 1352.08430451407)","(0.01969340318535399, 1352.124175334513)","(0.01969123021884986, 1352.1650782334143)","(0.019689083224056936, 1352.205492253046)","(0.01968692180053556, 1352.2461778722718)","(0.019684933521755554, 1352.283604296366)","(0.019682691297354872, 1352.3258108733198)","(0.01968058758874729, 1352.3654100941685)","(0.01967839442202333, 1352.406693232502)","(0.01967623011275627, 1352.4474331716467)","(0.01967403694603231, 1352.48871630998)","(0.019671976523610066, 1352.5275007320458)","(0.019669792014123177, 1352.5686209106225)","(0.019667555561213877, 1352.6107188477388)","(0.019665290250847685, 1352.6533599840436)","(0.01966319519947717, 1352.6927962451357)","(0.01966087217419719, 1352.7365237798176)","(0.01965867323598185, 1352.7779155579888)","(0.019656393496887213, 1352.8208282938876)","(0.019654185901434806, 1352.8623830318154)","(0.019651920591068614, 1352.9050241681202)","(0.019649935198034294, 1352.9423962722956)","(0.01964774491705603, 1352.98362509071)","(0.019645612350991548, 1353.0237675107471)","(0.01964334704062536, 1353.066408647052)","(0.019641081730259163, 1353.1090497833568)","(0.019638755819233494, 1353.1528316379577)","(0.019636464537156097, 1353.195961653532)","(0.01963415016911318, 1353.2395262284576)","(0.019632075317962492, 1353.2785822501178)","(0.019629931208915256, 1353.3189419498306)","(0.019627712070480096, 1353.3607139674336)","(0.01962555064695872, 1353.4013995866594)","(0.01962341230940286, 1353.4416506465343)","(0.019621253771627177, 1353.4822819458414)","(0.019618953832312713, 1353.5255749211724)","(0.019616671207472382, 1353.5685419769904)","(0.019613903777356233, 1353.620634779177)","(0.019610025335149654, 1353.6936407501241)","(0.019606646126947347, 1353.7572493751088)","(0.019603290004710554, 1353.8204234407426)","(0.019597853259831693, 1353.922762167874)","(0.019592618517151092, 1354.0212985006854)","(0.01958761174837995, 1354.1155435599069)","(0.019578108987824697, 1354.2944190527114)","(0.01956591671228691, 1354.5239207098934)","(0.01955145912638293, 1354.79606350338)","(0.019532788351772398, 1355.147513378402)","(0.019507070586188308, 1355.631612495279)","(0.019472854299548887, 1356.2756837731972)","(0.019431521764039363, 1357.0537079710236)","(0.019378908848629906, 1358.0440687316725)","(0.01931399399934646, 1359.2659953064194)","(0.019233943413922025, 1360.7728298555853)","(0.019140500082753, 1362.5317631481787)","(0.019034925076705667, 1364.519057379658)","(0.018893385022131122, 1367.1833407598847)","(0.018712099592176235, 1370.595772382565)","(0.018533621992777145, 1373.955350724195)","(0.018346666072542553, 1377.4745209874343)","(0.018144736017925572, 1381.2755573096363)","(0.017930942662779396, 1385.29990281827)","(0.017692412695583533, 1389.7898786713688)","(0.017449799398237147, 1394.3567172096537)","(0.017221704287454218, 1398.6502722361558)","(0.016982395168922214, 1403.1549144673463)","(0.01672264054218069, 1408.0444133236576)","(0.016492138719492785, 1412.3832711624889)"
"(0.0794, 2088.0)","(0.07938833208142895, 2088.0834353953683)","(0.079376421081221, 2088.1686090281405)","(0.07936526971112835, 2088.248350669026)","(0.07935382968159191, 2088.3301564668286)","(0.07934252638547622, 2088.410984506092)","(0.07933114712634899, 2088.4923557445436)","(0.07932067942336012, 2088.567208592732)","(0.07930887477136832, 2088.65162174664)","(0.0792977993642872, 2088.7308201883375)","(0.0792862529865346, 2088.8133864650035)","(0.07927485853480506, 2088.8948663432934)","(0.07926331215705246, 2088.97743261996)","(0.07925246463900594, 2089.0550014640917)","(0.07924096383906026, 2089.137241821245)","(0.07922918957227308, 2089.2214376954776)","(0.07921726337946282, 2089.306719968087)","(0.07920623355018863, 2089.385592490271)","(0.07919400350533226, 2089.4730475596352)","(0.07918242674237505, 2089.5558311159775)","(0.07917042458655328, 2089.6416565877753)","(0.07915880224578914, 2089.7247660636303)","(0.07914687605297889, 2089.8100483362405)","(0.07913642354259234, 2089.884792544591)","(0.07912489235744205, 2089.96725018142)","(0.07911366502433786, 2090.0475350214942)","(0.07910173883152762, 2090.1328172941044)","(0.07908981263871737, 2090.2180995667136)","(0.0790775674012587, 2090.3056632759153)","(0.07906550447502769, 2090.3919233070646)","(0.07905332000797824, 2090.4790524569153)","(0.07904239652692019, 2090.5571645002356)","(0.07903110842340678, 2090.637883899661)","(0.07901942531223344, 2090.721427934867)","(0.07900804605310621, 2090.802799173319)","(0.07899678833479742, 2090.8833012930686)","(0.0789854242682725, 2090.9645638916827)","(0.07897331576423457, 2091.051149842345)","(0.07896129841581048, 2091.137083953981)","(0.07894672871019899, 2091.2412695583535)","(0.07892630985269965, 2091.3872815002483)","(0.07890851931539927, 2091.5144987502176)","(0.07889085031891734, 2091.640846881485)","(0.07886222745617273, 2091.845524335748)","(0.07883466807558956, 2092.0425970013707)","(0.07880830891058857, 2092.2310871198138)","(0.07875827967119474, 2092.588838105423)","(0.07869409092645167, 2093.047841419787)","(0.07861797598889836, 2093.5921270067606)","(0.07851967985197822, 2094.295026756804)","(0.0783842833802267, 2095.263224990558)","(0.07820414469468386, 2096.551367546395)","(0.0779865410518543, 2098.1074159420473)","(0.0777095495266104, 2100.0881374633445)","(0.07736779193773578, 2102.531990612839)","(0.07694634914976595, 2105.5456597111706)","(0.07645439749449374, 2109.063526296358)","(0.0758985761391269, 2113.038114759316)","(0.07515340938121973, 2118.3666815197694)","(0.07419899491175136, 2125.19154476513)","(0.07325936284432674, 2131.91070144839)","(0.07227509491132697, 2138.9490419748686)","(0.07121199256496111, 2146.5511146192725)","(0.07008643343051506, 2154.59980563654)","(0.06883064330910156, 2163.5797573427376)","(0.06755335565542499, 2172.7134344193073)","(0.06635250198395017, 2181.3005444723117)","(0.06509260985991402, 2190.309828934693)","(0.06372507814853952, 2200.0888266473153)","(0.06251155384674144, 2208.7665423249773)"
