0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
"(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)"
"(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)"
"(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)"
"(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)"
"(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)"
"(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)"
"(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)"
"(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)"
"(1.0, 0.0)","(0.2284853094453365, 1092.4648018254036)","(0.21382292458942506, 1113.226738781374)","(0.20127327530352968, 1130.997042170202)","(0.19003352207104426, 1146.9125327474012)","(0.18130088171497788, 1159.2779514915912)","(0.17177948674610552, 1172.7602467675144)","(0.16338488408124172, 1184.6470041409616)","(0.15566635679878307, 1195.5764387729232)","(0.1487365841291304, 1205.3889968731514)","(0.14266599059128426, 1213.9849573227416)","(0.1371728781092425, 1221.7632045973126)","(0.1327361334122088, 1228.0456350883123)","(0.12869376602157806, 1233.7696273134454)","(0.12486267218794896, 1239.1944561818643)","(0.12107383306572016, 1244.5594523789403)","(0.11710189019408998, 1250.1837234851685)","(0.1133553057832615, 1255.4888870109019)","(0.11031296656243837, 1259.7968393475871)","(0.10767908955181836, 1263.526409194625)","(0.10520014648299952, 1267.0365925800727)","(0.10265077889518015, 1270.646497084425)","(0.10025634524916195, 1274.0370151271868)","(0.09798867573734471, 1277.24803515592)","(0.0961576382433308, 1279.8407842474437)","(0.09367869517451195, 1283.350967632891)","(0.09177723316149751, 1286.0434378433195)","(0.0897630919180822, 1288.8954618439957)","(0.0877489506746669, 1291.7474858446717)","(0.08573480943125159, 1294.5995098453477)","(0.08349530972703456, 1297.770641426519)","(0.08159384771402012, 1300.4631116369476)","(0.07943885743260373, 1303.5145778754331)","(0.07786134820699174, 1305.7483309388997)","(0.07607256542437815, 1308.2812473590807)","(0.07410067889236316, 1311.0734386884137)","(0.07224147159074903, 1313.7060762274994)","(0.07041043409673511, 1316.298825319023)","(0.06887517958252345, 1318.472745711147)","(0.06729767035691146, 1320.7064987746132)","(0.06570607622749937, 1322.9601960618609)","(0.06404405757908674, 1325.3136144680132)","(0.06219893518127271, 1327.9263077833177)","(0.06045240711005944, 1330.399391532156)","(0.05867770923124595, 1332.9123637285556)","(0.05670582269923096, 1335.704555057889)","(0.05511422856981887, 1337.9582523451365)","(0.053311360883405164, 1340.5111129890984)","(0.05122679512098932, 1343.462858108679)","(0.048930955801571877, 1346.713766584974)","(0.04625482407955154, 1350.503169103355)","(0.043268824473928845, 1354.7313445449167)","(0.03932505140989887, 1360.3157272035833)","(0.03484605200146483, 1366.6579903659258)","(0.03094453364883518, 1372.1825403532494)","(0.026254260683399533, 1378.8239668723063)","(0.021155525507760783, 1386.0437758810108)","(0.015310290430716357, 1394.3206287501055)","(0.00991577227527536, 1401.95926645821)","(0.004563508831234683, 1409.5380714949717)"
"(0.0061, 1416.0)","(0.0013937603876165528, 1416.0)","(0.001304319839995493, 1416.0)","(0.001227766979351531, 1416.0)","(0.0011592044846333702, 1416.0)","(0.001105935378461365, 1416.0)","(0.0010478548691512438, 1415.9999999999998)","(0.0009966477928955745, 1415.9999999999998)","(0.0009495647764725768, 1416.0)","(0.0009072931631876955, 1416.0)","(0.000870262542606834, 1416.0)","(0.0008367545564663794, 1416.0)","(0.0008096904138144737, 1416.0)","(0.0007850319727316262, 1416.0)","(0.0007616623003464886, 1416.0)","(0.000738550381700893, 1416.0)","(0.0007143215301839489, 1415.9999999999998)","(0.0006914673652778953, 1416.0000000000002)","(0.0006729090960308741, 1416.0)","(0.000656842446266092, 1416.0)","(0.0006417208935462971, 1416.0)","(0.000626169751260599, 1416.0)","(0.0006115637060198879, 1416.0000000000002)","(0.0005977309219978027, 1416.0)","(0.0005865615932843179, 1416.0)","(0.000571440040564523, 1416.0)","(0.0005598411222851349, 1416.0)","(0.0005475548607003014, 1416.0)","(0.0005352685991154682, 1416.0)","(0.0005229823375306347, 1416.0)","(0.0005093213893349109, 1416.0)","(0.0004977224710555227, 1416.0)","(0.0004845770303388828, 1416.0)","(0.00047495422406264965, 1416.0)","(0.00046404264908870673, 1416.0000000000002)","(0.0004520141412434153, 1416.0)","(0.0004406729767035691, 1416.0)","(0.0004295036479900842, 1416.0)","(0.0004201385954533931, 1416.0)","(0.00041051578917715995, 1415.9999999999998)","(0.0004008070649877462, 1416.0)","(0.0003906687512324291, 1416.0)","(0.0003794135046057635, 1416.0)","(0.0003687596833713626, 1416.0000000000002)","(0.0003579340263106003, 1416.0)","(0.0003459055184653089, 1416.0)","(0.0003361967942758951, 1416.0)","(0.0003251993013887715, 1416.0)","(0.00031248345023803485, 1416.0)","(0.00029847883038958844, 1416.0)","(0.0002821544268852644, 1416.0)","(0.00026393982929096596, 1416.0)","(0.00023988281360038313, 1416.0)","(0.00021256091720893547, 1416.0)","(0.00018876165525789462, 1416.0)","(0.00016015099016873717, 1416.0)","(0.00012904870559734077, 1416.0)","(9.339277162736979e-05, 1415.9999999999998)","(6.0486210879179695e-05, 1416.0)","(2.7837403870531566e-05, 1416.0)"
