0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
"(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)"
"(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)"
"(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)"
"(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)"
"(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)"
"(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)"
"(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)"
"(1.0, 0.0)","(0.2540995971717513, 1092.4648018254036)","(0.23992400349305615, 1113.226738781374)","(0.2277910025634525, 1130.997042170202)","(0.2169244091382856, 1146.9125327474012)","(0.20848169244204062, 1159.2779514915912)","(0.1992764077861348, 1172.7602467675144)","(0.19116050592974448, 1184.6470041409616)","(0.1836982337530635, 1195.5764387729232)","(0.17699852953604328, 1205.3889968731514)","(0.17112947970365364, 1213.9849573227416)","(0.16581873855601564, 1221.7632045973126)","(0.16152929378292347, 1228.0456350883123)","(0.15762113298966166, 1233.7696273134454)","(0.15391723147130904, 1239.1944561818643)","(0.15025418180793826, 1244.5594523789403)","(0.1464141074396462, 1250.1837234851685)","(0.1427919096312572, 1255.4888870109019)","(0.1398505760725654, 1259.7968393475871)","(0.13730414377869798, 1263.526409194625)","(0.13490750161976395, 1267.0365925800727)","(0.13244277303586016, 1270.646497084425)","(0.13012783458688978, 1274.0370151271868)","(0.12793545170286486, 1277.24803515592)","(0.12616520465365222, 1279.8407842474437)","(0.12376856249471815, 1283.350967632891)","(0.1219302290205358, 1286.0434378433195)","(0.11998295726640187, 1288.8954618439957)","(0.11803568551226795, 1291.7474858446717)","(0.11608841375813403, 1294.5995098453477)","(0.11392326544409702, 1297.770641426519)","(0.11208493196991465, 1300.4631116369476)","(0.11000148736584128, 1303.5145778754331)","(0.10847635144651961, 1305.7483309388997)","(0.1067469562522888, 1308.2812473590807)","(0.1048405363531367, 1311.0734386884137)","(0.10304305473393617, 1313.7060762274994)","(0.1012728076847235, 1316.298825319023)","(0.09978852362038368, 1318.472745711147)","(0.098263387701062, 1320.7064987746132)","(0.0967246344967464, 1322.9601960618609)","(0.09511779486746105, 1325.3136144680132)","(0.09333393053325445, 1327.9263077833177)","(0.09164538719400547, 1330.399391532156)","(0.08992960928476859, 1332.9123637285556)","(0.08802318938561648, 1335.704555057889)","(0.08648443618130089, 1337.9582523451365)","(0.08474142370207612, 1340.5111129890984)","(0.08272606552297247, 1343.462858108679)","(0.08050644806895968, 1346.713766584974)","(0.07791916392011043, 1350.503169103355)","(0.07503229950139441, 1354.7313445449167)","(0.07121945970309024, 1360.3157272035833)","(0.06688916307501619, 1366.6579903659258)","(0.06311717513169385, 1372.1825403532494)","(0.05858261922871067, 1378.8239668723063)","(0.05365316206090312, 1386.0437758810108)","(0.04800198878841657, 1394.3206287501055)","(0.04278656863573622, 1401.95926645821)","(0.03761200033803769, 1409.5380714949717)"
"(0.0504, 1416.0)","(0.01151565959604496, 1416.0)","(0.010776675399307023, 1416.0)","(0.010144173075297896, 1416.0)","(0.009577689512380631, 1416.0)","(0.009137564438434885, 1416.0)","(0.008657686132003718, 1415.9999999999998)","(0.008234598157694582, 1415.9999999999998)","(0.007845584382658666, 1416.0)","(0.007496323840108172, 1416.0)","(0.007190365925800727, 1416.0)","(0.006913513056705822, 1416.0)","(0.006689901123975324, 1416.0)","(0.006486165807487535, 1416.0)","(0.006293078678272627, 1416.0)","(0.006102121186512296, 1416.0)","(0.005901935265782135, 1415.9999999999998)","(0.005713107411476379, 1416.0000000000002)","(0.005559773514746894, 1416.0)","(0.005427026113411645, 1416.0)","(0.005302087382743176, 1416.0)","(0.00517359925631708, 1416.0)","(0.005052919800557763, 1416.0000000000002)","(0.0049386292571621734, 1416.0)","(0.004846344967463873, 1416.0)","(0.004721406236795403, 1416.0)","(0.004625572551339475, 1416.0)","(0.004524059832671343, 1416.0)","(0.004422547114003212, 1416.0)","(0.00432103439533508, 1416.0)","(0.004208163610242542, 1416.0)","(0.004112329924786614, 1416.0)","(0.004003718414603228, 1416.0)","(0.0039242119496323835, 1416.0)","(0.003834057297388659, 1416.0000000000002)","(0.0037346742161751033, 1416.0)","(0.0036409701681737513, 1416.0)","(0.0035486858784754497, 1416.0)","(0.0034713090509591823, 1416.0)","(0.003391802585988338, 1415.9999999999998)","(0.0033115862418659683, 1416.0)","(0.0032278205019859716, 1416.0)","(0.0031348263331361444, 1416.0)","(0.003046801318346996, 1416.0000000000002)","(0.0029573565452547957, 1416.0)","(0.0028579734640412405, 1416.0)","(0.002777757119918871, 1416.0)","(0.00268689258852362, 1416.0)","(0.002581830474097862, 1416.0)","(0.0024661201723992225, 1416.0)","(0.0023312431336093976, 1416.0)","(0.0021807487534860137, 1416.0)","(0.001981982591058903, 1416.0)","(0.0017562410208738274, 1416.0)","(0.0015596044959012931, 1416.0)","(0.0013232147384433365, 1416.0)","(0.0010662384855911434, 1416.0)","(0.0007716386377081044, 1415.9999999999998)","(0.0004997549226738781, 1416.0)","(0.000230000845094228, 1416.0)"
"(0.0061, 1416.0)","(0.011732057241049044, 2082.588692639229)","(0.011839092650497197, 2095.256993154737)","(0.011930705090284233, 2106.09989013775)","(0.012012755288881377, 2115.811036930618)","(0.012076503563480662, 2123.356038198259)","(0.01214600974675343, 2131.582523451365)","(0.012207290346206937, 2138.835460153807)","(0.012263635595368885, 2145.5042677258516)","(0.01231422293585735, 2151.4915913124314)","(0.012358538268683626, 2156.7365841291303)","(0.012398637989802529, 2161.4826333136143)","(0.012431026226090876, 2165.3159807318516)","(0.01246053550804248, 2168.8085861573563)","(0.012488502493027973, 2172.118651229612)","(0.012516161018620242, 2175.392208231218)","(0.012545156201583144, 2178.8239668723063)","(0.012572506267782193, 2182.0610158032623)","(0.0125947153440942, 2184.689596890053)","(0.012613942646271725, 2186.965266627229)","(0.012632038930674105, 2189.1070734386885)","(0.012650649314065185, 2191.3097270345643)","(0.012668128679681118, 2193.378517704724)","(0.012684682667117383, 2195.3377841629344)","(0.012698049240823687, 2196.9198005577623)","(0.012716145525226064, 2199.0616073692217)","(0.012730026197921069, 2200.704470548466)","(0.012744729428998, 2202.444688582777)","(0.012759432660074932, 2204.1849066170876)","(0.012774135891151865, 2205.9251246513986)","(0.012790484238992648, 2207.860052395842)","(0.012804364911687655, 2209.5029155750867)","(0.012820096340741993, 2211.3648271782304)","(0.012831612158088961, 2212.7277951491587)","(0.01284467027240204, 2214.2733034733374)","(0.01285906504408575, 2215.9770134369983)","(0.012872637257387532, 2217.5833685455927)","(0.012886003831093834, 2219.165384940421)","(0.01289721118904758, 2220.4918448406997)","(0.012908727006394546, 2221.8548128116286)","(0.012920345643539255, 2223.2299501394405)","(0.012932478379672667, 2224.665934251669)","(0.01294594777317671, 2226.26012000338)","(0.012958697428096567, 2227.769120256909)","(0.012971652722611905, 2229.3024592242036)","(0.012986047494295615, 2231.006169187864)","(0.012997666131440324, 2232.381306515677)","(0.013010827065551143, 2233.9389841967377)","(0.013026044395616778, 2235.740049015465)","(0.013042804022648525, 2237.7236541874418)","(0.013062339784219276, 2240.0358319952675)","(0.013084137581340319, 2242.6157356545255)","(0.013112927124707739, 2246.0231555818473)","(0.013145623820389307, 2249.8930110707342)","(0.013174104904363503, 2253.2639229274064)","(0.013208343897011183, 2257.3163187695427)","(0.013245564663793346, 2261.7216259612946)","(0.01328823487985577, 2266.771909067861)","(0.013327614862390489, 2271.4327727541618)","(0.013366686385531987, 2276.057128369813)"
