,highway_high_reliability_higher_thresholds_LOS.csv,highway_high_reliability_higher_thresholds_NLOSv.csv,highway_high_reliability_lower_thresholds_LOS.csv,highway_high_reliability_lower_thresholds_NLOSv.csv,highway_high_reliability_middle_thresholds_LOS.csv,highway_high_reliability_middle_thresholds_NLOSv.csv,highway_low_reliability_higher_thresholds_LOS.csv,highway_low_reliability_higher_thresholds_NLOSv.csv,highway_low_reliability_lower_thresholds_LOS.csv,highway_low_reliability_lower_thresholds_NLOSv.csv,highway_low_reliability_middle_thresholds_LOS.csv,highway_low_reliability_middle_thresholds_NLOSv.csv
-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-6,NA,NA,69,NA,NA,NA,NA,NA,69,69,NA,NA
-5,279,NA,69,69,139,NA,279,279,23,9,139,139
-4,279,NA,69,69,139,73,279,279,69,69,139,87
-3,279,279,15,69,139,87,279,279,15,64,139,139
-2,279,279,69,64,139,139,279,279,69,69,139,76
-1,279,279,69,69,139,76,279,279,69,2,139,139
0,279,279,69,69,139,139,279,279,69,69,139,73
1,279,279,69,69,139,139,279,279,69,2,139,139
2,279,279,69,69,139,73,279,279,69,69,139,139
3,279,279,69,69,139,139,279,279,45,9,139,139
4,279,279,69,69,139,139,279,279,69,69,139,139
5,279,279,69,69,139,139,279,279,69,69,76,139
6,279,279,69,69,76,70,279,279,69,69,76,139
7,279,279,69,69,139,72,279,279,69,69,76,139
8,279,279,69,69,139,75,279,279,69,69,139,139
9,279,279,69,69,76,73,279,279,69,69,139,72
10,279,279,69,69,139,139,279,279,69,69,139,139
11,279,279,69,69,139,75,279,279,69,69,139,139
12,279,279,69,69,139,139,279,279,69,69,139,139
13,279,279,69,69,139,139,279,279,69,69,139,99
14,279,279,69,69,139,139,279,279,69,69,139,117
15,279,279,69,69,139,139,279,279,69,69,76,139
16,279,279,69,69,139,139,279,279,69,69,139,139
17,279,279,69,69,139,76,279,279,69,69,139,139
18,279,279,69,69,139,139,279,279,69,69,139,139
19,279,279,69,69,139,139,279,279,69,69,139,139
20,279,279,0,69,139,139,279,279,69,69,139,139
21,279,279,69,69,139,139,279,279,69,69,139,139
22,279,279,69,69,139,139,279,279,69,69,139,139
23,279,279,69,69,139,139,279,279,69,69,139,139
24,279,279,69,69,139,139,279,279,69,69,139,139
25,279,279,14,69,139,139,279,279,69,69,139,139
26,279,279,69,18,139,139,279,279,69,69,139,139
27,279,279,69,69,139,139,279,279,69,69,139,139
28,279,279,69,69,139,139,279,279,21,69,139,139
29,279,279,21,69,139,139,279,279,69,69,139,139
30,279,279,21,11,139,139,279,279,69,69,139,139
31,279,279,69,11,139,139,279,279,69,69,139,139
32,279,279,69,69,139,139,279,279,69,69,139,139
33,279,279,69,69,139,139,279,279,69,69,139,139
34,279,279,69,69,139,139,279,279,69,69,139,139
35,279,279,69,69,139,139,279,279,69,69,139,139
36,279,279,69,69,139,139,279,279,69,69,139,139
37,279,279,69,69,139,139,279,279,69,69,139,139
38,279,279,69,69,139,139,279,279,69,69,139,139
39,279,279,69,69,139,139,279,279,69,69,139,139
40,279,279,69,69,139,139,279,279,69,69,139,139
41,279,279,69,69,139,139,279,279,69,69,139,139
42,279,279,69,69,139,139,279,279,69,69,139,139
43,279,279,69,69,139,139,279,279,69,69,139,139
44,279,279,69,69,139,139,279,279,69,69,139,139
45,279,279,69,69,139,139,279,279,69,69,139,139
46,279,279,69,12,139,139,279,279,69,12,139,139
47,279,279,69,12,139,139,279,279,69,12,139,139
48,279,279,69,12,139,139,279,279,69,12,139,139
49,279,279,69,12,139,139,279,279,69,12,139,139
50,279,279,69,12,139,139,279,279,69,12,139,139
