,urban_high_reliability_higher_thresholds_LOS.csv,urban_high_reliability_higher_thresholds_NLOS.csv,urban_high_reliability_higher_thresholds_NLOSv.csv,urban_high_reliability_lower_thresholds_LOS.csv,urban_high_reliability_lower_thresholds_NLOS.csv,urban_high_reliability_lower_thresholds_NLOSv.csv,urban_low_reliability_higher_thresholds_LOS.csv,urban_low_reliability_higher_thresholds_NLOS.csv,urban_low_reliability_higher_thresholds_NLOSv.csv,urban_low_reliability_lower_thresholds_LOS.csv,urban_low_reliability_lower_thresholds_NLOS.csv,urban_low_reliability_lower_thresholds_NLOSv.csv
-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,NA,NA
-5,NA,NA,NA,59,NA,NA,119,119,119,17,38,59
-4,119,NA,119,17,NA,59,84,61,63,59,38,59
-3,84,61,63,59,38,59,119,109,119,41,0,0
-2,119,60,119,41,0,0,90,109,97,59,0,0
-1,90,109,97,59,0,0,119,119,119,59,38,25
0,119,109,119,59,0,25,119,104,63,59,38,59
1,90,104,63,59,38,59,119,119,119,59,0,59
2,119,119,119,59,0,59,119,81,119,59,0,59
3,119,81,80,59,0,59,119,119,119,20,43,14
4,119,119,119,59,0,14,119,62,119,59,43,14
5,119,62,119,59,43,14,119,119,119,59,59,0
6,119,62,119,59,43,59,103,119,119,59,0,45
7,119,119,119,59,0,45,63,61,63,59,37,59
8,63,119,119,59,0,59,105,98,86,59,11,31
9,119,63,119,59,26,31,119,119,69,59,38,59
10,103,76,69,59,16,59,91,76,79,59,16,9
11,119,119,69,59,0,59,96,119,119,59,0,59
12,119,119,119,59,0,59,84,119,106,59,0,0
13,84,60,106,59,0,0,78,119,80,59,0,59
14,78,89,80,59,0,59,119,119,86,59,0,59
15,78,119,86,59,0,59,84,119,92,59,37,59
16,84,98,119,59,0,0,119,119,119,59,37,59
17,119,81,119,59,51,59,71,119,119,59,37,59
18,119,119,119,59,0,59,119,119,119,59,11,59
19,119,119,119,59,0,7,119,60,71,59,59,59
20,119,119,119,59,11,59,119,119,119,59,0,0
21,119,60,119,59,59,0,119,60,119,59,0,0
22,119,119,119,59,0,59,119,60,119,59,0,0
23,119,119,119,59,0,59,119,60,119,59,0,0
24,119,119,119,59,0,59,119,119,119,34,50,0
25,119,60,119,59,0,59,119,119,119,59,0,0
26,119,119,119,59,50,0,119,119,119,59,53,0
27,119,119,119,59,0,59,119,119,119,8,0,0
28,119,119,119,8,53,59,119,119,119,8,59,0
29,119,119,119,8,0,0,119,119,119,59,0,59
30,119,119,119,8,0,0,119,119,119,59,0,59
31,119,119,119,59,0,59,119,119,119,59,0,59
32,119,119,119,59,0,59,119,119,119,59,0,59
33,119,119,119,59,0,59,119,119,119,59,0,59
34,119,119,119,59,0,59,119,119,119,59,0,59
35,119,119,119,59,0,59,119,119,119,59,0,31
36,119,119,119,59,0,59,119,119,119,59,0,31
37,119,119,119,59,0,59,119,119,119,59,0,31
38,119,119,119,59,0,59,119,119,119,59,0,31
39,119,119,119,59,0,59,119,119,119,59,0,31
40,119,119,119,59,0,59,119,119,119,59,0,31
41,119,119,119,59,0,59,119,119,119,59,0,31
42,119,119,119,59,0,59,119,119,119,59,0,31
43,119,119,119,59,0,59,119,119,119,59,0,31
44,119,119,119,59,0,59,119,119,119,59,0,31
45,119,119,119,59,0,59,119,119,119,59,0,31
